Date,Sales,Units
10/1/2010,15744567,3992207
11/1/2010,15916499,4103736
12/1/2010,17130246,4388282
1/1/2011,15976251,4116960
2/1/2011,16870598,4337832
3/1/2011,12167933,3179463
4/1/2011,332482,87494
5/1/2011,1114343,303683
6/1/2011,34930775,8950643
7/1/2011,14774017,3765713
8/1/2011,15074364,3937045
9/1/2011,12690903,3250833
10/1/2011,19301093,5042597
11/1/2011,,3967543
12/1/2011,,4303093
1/1/2012,16197917,4196530
2/1/2012,16179748,4191616
3/1/2012,18362172,4619558
4/1/2012,16083361,4171604
5/1/2012,17245885,4440576
6/1/2012,30970104,7986847
7/1/2012,18204922,4763906
8/1/2012,20019065,5230056
9/1/2012,19826196,5164545
10/1/2012,19211563,5074889
11/1/2012,21513007,5560151
12/1/2012,20521838,5308446
1/1/2013,23594313,6130928
2/1/2013,17874084,4684690
3/1/2013,24275721,6253482
4/1/2013,17258876,4370855
5/1/2013,25681386,6625014
6/1/2013,21553271,5489082
7/1/2013,17373732,4584729
8/1/2013,24491656,6409194
9/1/2013,19547023,5124353
10/1/2013,22616286,5968869
11/1/2013,22256175,5892136
12/1/2013,22348603,5928984
1/1/2014,24856726,6611486
2/1/2014,22428509,5881329
3/1/2014,23899147,6249117
4/1/2014,27023779,7079217
5/1/2014,27112213,7076598
6/1/2014,27599511,7132560
7/1/2014,29713097,7761457
8/1/2014,28149536,7319781
9/1/2014,28081336,7324869
10/1/2014,29902452,7832386
11/1/2014,28806305,7537396
12/1/2014,31179656,8195570
1/1/2015,31630601,8275406
2/1/2015,29103920,7599336
3/1/2015,31560179,8228487
4/1/2015,30955115,8102613
5/1/2015,32740393,8517271
6/1/2015,30988022,8149473
7/1/2015,32839886,8556961
8/1/2015,31848095,8316444
9/1/2015,33950328,8870889
10/1/2015,33753871,8772626
11/1/2015,31877671,8275509
12/1/2015,36102251,
1/1/2016,34278625,8871375
2/1/2016,33243314,8593480
3/1/2016,38339067,9971908
4/1/2016,35674574,9311968
5/1/2016,35456179,
6/1/2016,38796557,10105865
7/1/2016,36008512,9288695
8/1/2016,36841241,9536277
9/1/2016,36350877,
