Date,CPO_Exp_Prices_USD_Tonne,MatureAreaHabyMonthly,FFBProductionYield,CPOProduction_tons,CrudePalmOilExportCPO,ProcessedpalmoilPPO,PamlKernelCake,CPOExp_Vol_prop,CPOExp_Mal_Ind,Oil_Exp_OlepChem_oth,Precipitation,Rm_to_USD,Closing_Stock_CPO
1/1/2014,865,4689321,6987088,1508980,269718,1098245,274059,13,181921,343902,118,0.3,1071574
2/1/2014,908,4703264,5690949,1275812,240776,1110665,267980,12,185055,279680,10,0.3,923011
3/1/2014,961,4717248,6556975,1497142,258443,987323,187916,14,131120,313635,63,0.3,866087
4/1/2014,911,4731274,6860347,1555777,219250,1049397,139183,12,161001,322463,106,0.31,1003714
5/1/2014,893,4745341,7260372,1656957,400991,1015966,180619,20,268145,306179,180,0.31,979793
6/1/2014,857,4759450,6806014,1569684,375195,1107995,223923,18,229066,320752,103,0.31,828434
7/1/2014,841,4773602,7399083,1665661,461987,984073,230037,22,351054,322747,154,0.31,895376
8/1/2014,766,4787795,9288322,2031677,423247,1014549,151353,21,362068,326949,233,0.31,1133477
9/1/2014,709,4802030,8643655,1896901,555201,1088093,228135,24,455265,328659,142,0.31,1178596
10/1/2014,722,4816308.273,8621191.808,1892994,547811,1063649,242822,23,278123,401439,305,0.31,1195355
11/1/2014,731,4830628.561,8115455.983,1750567,397578,1116473,209481,18,285170,393515,342,0.3,1303956
12/1/2014,693,4844991.428,6637638.257,1364864,550405,969216,239373,24,363575,414353,531,0.29,995691
1/1/2015,720,4859397,5588306.55,1160687,280657,911119,191449,16,160170,310909,312,0.28,878201
2/1/2015,723,4871078.071,5212053.536,1121628,312852,659794,196928,20,222162,313181,135,0.28,949046
3/1/2015,699,4882787.221,6494107.004,1495151,364634,829596,207508,20,309570,310132,226,0.27,905330
4/1/2015,683,4894524.517,7586513.002,1693425,86390,1091432,161456,5,87391,324584,206,0.28,1269971
5/1/2015,697,4906290.028,8046315.646,1810530,525116,1100476,166420,24,354452,351668,144,0.28,1286779
6/1/2015,706,4918083.821,7918114.952,1763667,594937,1102232,201084,26,435833,326100,186,0.27,1098345
7/1/2015,680,4929905.964,8282242.019,1815634,470289,1139613,239233,20,351515,379301,164,0.26,1254086
8/1/2015,601,4941756.525,9339919.832,2051000,460284,1148019,279190,20,263892,367327,239,0.25,1462197
9/1/2015,600,4953635.573,8966080.386,1959064,512964,1167918,183126,22,357156,402658,191,0.23,1568155
10/1/2015,637,4965543.175,9136599.442,2037466,641225,1070699,304888,25,441035,402936,217,0.23,1707383
11/1/2015,608,4977479.401,7814642.66,1653946,505981,993776,229742,23,390074,384529,407,0.23,1753226
12/1/2015,607,4989444.32,6685855.389,1399383,519708,964504,265952,24,313065,349095,271,0.23,1593073
1/1/2016,612,5001438,5201495.52,1129747,412275,866912,223416,21,263319,354105,154,0.23,1302000
2/1/2016,679,5010454.313,4860140.684,1042707,386742,702122,165976,24,177541,298292,241,0.24,1251919
3/1/2016,716,5019486.88,5521435.568,1219449,478316,857618,77005,26,328127,342987,157,0.25,955412
4/1/2016,775,5028535.731,5883386.805,1301291,184370,988545,175603,10,179540,357611,154,0.26,973815
5/1/2016,753,5037600.894,6397753.135,1364583,329596,952857,170100,18,310513,339175,231,0.25,883175
6/1/2016,718,5046682.399,7317689.479,1532613,216562,925270,191119,13,169188,319166,216,0.25,975825
7/1/2016,678,5055780.277,7431997.007,1585341,282465,1102255,234174,14,189858,345989,227,0.25,1019988
8/1/2016,771,5064894.555,7799937.614,1701833,525375,1299062,209650,21,440477,355982,193,0.25,756764
9/1/2016,798,5074025.264,7966219.664,1715085,329493,1131680,154949,16,262301,334744,261,0.24,893338
10/1/2016,750,5083172.433,7675590.374,1677873,275500,1160571,219417,13,208840,371460,244,0.24,841813
11/1/2016,767,5092336.092,7434810.695,1574938,206546,1163865,196582,10,131368,339346,327,0.23,897665
12/1/2016,811,5101516.271,6938062.129,1473717,195330,1072632,195855,10,164768,352381,331,0.22,877082
1/1/2017,825,5110713,6132855.6,1276849,188726,1099056,187017,10,139427,312804,326,0.22,784039
2/1/2017,809,5117219.826,5782458.403,1258539,165127,942641,186568,9,133488,379107,222,0.23,766752
3/1/2017,779,5123734.936,6763330.115,1464021,188421,1077379,111004,10,171463,370401,197,0.23,784782
4/1/2017,752,5130258.34,7079756.51,1548026,169492,1114627,214680,9,160878,272887,222,0.23,861983
5/1/2017,763,5136790.051,7448345.574,1654494,363277,1142867,158686,17,273699,342447,210,0.23,788788
6/1/2017,735,5143330.077,7046362.205,1514255,210267,1169621,156974,11,238198,304444,173,0.23,797998
7/1/2017,720,5149878.43,8291304.272,1826828,302661,1096446,217707,15,161458,370593,174,0.23,937789
8/1/2017,718,5156435.12,8301860.543,1810551,219636,1268575,180570,10,183286,393726,287,0.23,1056287
9/1/2017,755,5163000.158,8364060.256,1779918,258887,1260397,209614,12,189290,347498,261,0.24,1072103
10/1/2017,747,5169573.554,9201840.926,2008838,277248,1260802,143195,13,166372,374901,274,0.24,1230469
11/1/2017,729,5176155.319,9058271.809,1942847,175724,1180654,219018,9,100161,351597,345,0.24,1487860
12/1/2017,679,5182745.465,8655184.926,1834165,189932,1237492,221622,9,110577,420043,344,0.25,1669196
1/1/2018,703,5189344,7680229.12,1586653,283186,1189480,217817,9,201547,413527,305,0.25,1572721
2/1/2018,709,5194688.569,6337520.054,1342805,418711,824909,217874,10,261784,370275,205,0.26,1560111
3/1/2018,706,5200038.642,7176053.326,1574079,543029,1023154,132448,12,394947,449945,167,0.26,1361350
4/1/2018,701,5205394.226,7079336.147,1558769,437567,1092838,178733,10,295886,402441,225,0.26,1203087
5/1/2018,687,5210755.325,6878197.029,1525490,107000,1184627,214149,16,75269,421090,171,0.25,1188377
6/1/2018,657,5216121.946,6102862.677,1332704,140749,988769,201625,12,159724,394151,225,0.25,1232383
7/1/2018,616,5221494.094,6683512.44,1503220,134067,1062605,150521,15,131914,493837,135,0.25,1241715
8/1/2018,615,5226871.774,7265351.766,1620605,123902,975994,213898,12,139053,453465,186,0.24,1278487
9/1/2018,605,5232254.994,8476253.09,1853602,368304,1251178,171234,13,228091,404676,275,0.24,1416395
10/1/2018,590,5237643.757,8903994.387,1964954,230485,1348009,225901,16,99335,495485,278,0.24,1613976
11/1/2018,539,5243038.071,8546152.055,1845222,279901,1095784,166217,12,242279,436236,356,0.24,1790316
12/1/2018,535,5248437.94,8449985.083,1808038,327621,1055686,201727,15,284178,439524,228,0.24,1940680
1/1/2019,585,5235000,7457489.244,1737461,384990,1295781,226222,17,318342,638632,169,0.24,1875604
2/1/2019,603,5236118.518,6564281.84,1544518,258430,1066682,193798,13,448996,611002,65,0.25,1928576
3/1/2019,573,5237237.275,6994763.698,1672058,342942,1277746,269793,14,341540,776033,184,0.25,1691445
4/1/2019,588,5238356.271,7051544.218,1649368,298584,1355895,155494,13,524127,562965,149,0.24,1595569
5/1/2019,563,5239475.506,6923744.284,1671467,301619,1412992,238770,12,528599,766917,184,0.24,1465338
6/1/2019,552,5240594.98,6613603.255,1510957,336446,1059443,229156,16,423621,667275,172,0.24,1345892
7/1/2019,544,5241714.694,7022380.92,1740759,306501,1179671,218501,14,461887,769553,165,0.24,1338324
8/1/2019,586,5242834.646,7821167.711,1821548,326348,1409297,144090,13,550452,701344,150,0.24,1290578
9/1/2019,580,5243954.838,8223295.568,1842433,316922,1093023,168789,15,465578,661289,178,0.24,1353343
10/1/2019,591,5265465.35,8319435.252,1795841,344686,1297152,221283,16,219956,551519,214,0.24,1323696
11/1/2019,683,5267360.691,7163610.539,1538054,336341,1065121,221772,18,142696,439361,258,0.24,1154222
