Year,MYR to INR
01-01-2018,16.29
02-01-2018,16.65
03-01-2018,16.85
04-01-2018,16.95
05-01-2018,16.94
06-01-2018,16.95
07-01-2018,16.84
08-01-2018,17.28
09-01-2018,17.52
10-01-2018,17.67
11-01-2018,16.64
12-01-2018,16.83
01-01-2019,17.32
02-01-2019,17.42
03-01-2019,16.95
04-01-2019,16.85
05-01-2019,16.6
06-01-2019,16.68
07-01-2019,16.69
08-01-2019,16.99
09-01-2019,16.87
10-01-2019,16.99
11-01-2019,17.18
12-01-2019,17.44
01-01-2020,17.47
02-01-2020,17.22
03-01-2020,17.46
04-01-2020,17.47
05-01-2020,17.39
06-01-2020,17.63
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
